+8.75000E-1	+NaN
+2.62500E+0	+NaN
+4.37500E+0	+NaN
+6.12500E+0	+NaN
+7.87500E+0	+NaN
+9.62500E+0	+NaN
+1.13750E+1	+NaN
+1.31250E+1	+NaN
+1.48750E+1	+NaN
+1.66250E+1	+NaN
+1.83750E+1	+NaN
+2.01250E+1	+NaN
+2.18750E+1	+NaN
+2.36250E+1	+NaN
+2.53750E+1	+NaN
+2.71250E+1	+NaN
+2.88750E+1	+NaN
+3.06250E+1	+NaN
+3.23750E+1	+NaN
+3.41250E+1	+NaN
+3.58750E+1	+NaN
+3.76250E+1	+NaN
+3.93750E+1	+NaN
+4.11250E+1	+NaN
+4.28750E+1	+NaN
+4.46250E+1	+NaN
+4.63750E+1	+NaN
+4.81250E+1	+2.76218E+2
+4.98750E+1	+4.24542E+2
+5.16250E+1	+2.35526E+2
+5.33750E+1	+2.31752E+2
+5.51250E+1	+2.30902E+2
+5.68750E+1	+2.19489E+2
+5.86250E+1	+2.26053E+2
+6.03750E+1	+2.22912E+2
+6.21250E+1	+2.62970E+2
+6.38750E+1	+2.50805E+2
+6.56250E+1	+2.19835E+2
+6.73750E+1	+2.39325E+2
+6.91250E+1	+2.40521E+2
+7.08750E+1	+2.23902E+2
+7.26250E+1	+2.25060E+2
+7.43750E+1	+2.29322E+2
+7.61250E+1	+2.40717E+2
+7.78750E+1	+2.22057E+2
+7.96250E+1	+2.14184E+2
+8.13750E+1	+2.15689E+2
+8.31250E+1	+2.25654E+2
+8.48750E+1	+2.24704E+2
+8.66250E+1	+2.24092E+2
+8.83750E+1	+2.30919E+2
+9.01250E+1	+2.45241E+2
+9.18750E+1	+2.26444E+2
+9.36250E+1	+2.44325E+2
+9.53750E+1	+2.20340E+2
+9.71250E+1	+2.46967E+2
+9.88750E+1	+2.63776E+2
+1.00625E+2	+2.89445E+2
+1.02375E+2	+4.45414E+2
+1.04125E+2	+3.38923E+2
+1.05875E+2	+2.28895E+2
+1.07625E+2	+2.26256E+2
+1.09375E+2	+2.32901E+2
+1.11125E+2	+2.26579E+2
+1.12875E+2	+2.45496E+2
+1.14625E+2	+3.94382E+2
+1.16375E+2	+7.64511E+2
+1.18125E+2	+4.42191E+2
+1.19875E+2	+2.50339E+2
+1.21625E+2	+2.34237E+2
+1.23375E+2	+2.57571E+2
+1.25125E+2	+2.46206E+2
+1.26875E+2	+2.80474E+2
+1.28625E+2	+8.80704E+2
+1.30375E+2	+8.53018E+2
+1.32125E+2	+2.73800E+2
+1.33875E+2	+2.51704E+2
+1.35625E+2	+2.47322E+2
+1.37375E+2	+2.40626E+2
+1.39125E+2	+2.45125E+2
+1.40875E+2	+6.69612E+2
+1.42625E+2	+1.20187E+3
+1.44375E+2	+4.65428E+2
+1.46125E+2	+2.60835E+2
+1.47875E+2	+2.34456E+2
+1.49625E+2	+2.49211E+2
+1.51375E+2	+2.24559E+2
+1.53125E+2	+2.35759E+2
+1.54875E+2	+6.51151E+2
+1.56625E+2	+8.59048E+2
+1.58375E+2	+2.68000E+2
+1.60125E+2	+2.38158E+2
+1.61875E+2	+2.28178E+2
+1.63625E+2	+2.18732E+2
+1.65375E+2	+2.16195E+2
+1.67125E+2	+3.64862E+2
+1.68875E+2	+5.95306E+2
+1.70625E+2	+2.97105E+2
+1.72375E+2	+2.24184E+2
+1.74125E+2	+2.08086E+2
